,City,Country,Lat,Lng,Date,Max Temp,Min Temp,Wind Speed,Humidity,Cloudiness
0,Seymour,US,33.59,-99.26,2019-06-05 23:05:49,82.99,82.99,1.99,67,34
1,Rikitea,PF,-23.12,-134.97,2019-06-05 23:03:18,76.93,76.93,11.27,82,100
2,Yulara,AU,-25.24,130.99,2019-06-05 23:05:50,41.0,41.0,9.17,65,0
3,Geraldton,CA,49.72,-86.95,2019-06-05 23:05:51,66.2,66.2,8.05,32,20
4,Aykino,RU,62.22,49.99,2019-06-05 23:05:52,50.83,50.83,8.39,95,1
5,Rudnya,RU,50.8,44.56,2019-06-05 23:05:52,58.21,58.21,2.17,68,0
6,Husavik,CA,50.56,-96.99,2019-06-05 23:05:53,73.0,72.0,5.01,20,94
7,Nelson Bay,AU,-32.72,152.14,2019-06-05 23:05:54,53.01,50.0,17.22,76,0
8,Punta Arenas,CL,-53.16,-70.91,2019-06-05 23:05:54,44.6,41.0,16.11,65,0
9,Airai,TL,-8.93,125.41,2019-06-05 23:05:55,77.65,77.65,8.84,58,91
10,Port Lincoln,AU,-34.72,135.86,2019-06-05 23:05:55,55.51,55.51,6.31,63,0
11,Albany,US,42.65,-73.75,2019-06-05 23:02:00,75.99,64.0,9.17,56,75
12,Nizhneangarsk,RU,55.78,109.57,2019-06-05 23:05:57,45.07,45.07,0.85,73,6
13,Vawkavysk,BY,53.15,24.45,2019-06-05 23:05:57,62.71,62.71,6.62,95,60
14,Tuatapere,NZ,-46.13,167.69,2019-06-05 23:03:26,41.0,41.0,29.82,83,82
15,Cidreira,BR,-30.17,-50.22,2019-06-05 23:05:59,64.87,64.87,14.74,76,4
16,Barrow,AR,-38.31,-60.23,2019-06-05 23:05:59,55.69,55.69,7.56,86,100
17,Gimli,CA,50.63,-96.99,2019-06-05 23:06:00,73.0,72.0,5.01,20,99
18,Iqaluit,CA,63.75,-68.52,2019-06-05 23:06:01,42.8,42.01,9.17,70,90
19,Zyryanovsk,KZ,49.74,84.27,2019-06-05 23:06:01,52.81,52.81,3.24,78,96
20,Mamlyutka,KZ,54.94,68.54,2019-06-05 23:06:02,51.73,51.73,4.0,97,84
21,Ushuaia,AR,-54.81,-68.31,2019-06-05 23:03:24,41.0,41.0,3.36,75,0
22,Gayny,RU,60.3,54.33,2019-06-05 23:06:03,51.37,51.37,3.47,98,20
23,Porto Walter,BR,-8.27,-72.74,2019-06-05 23:06:04,76.03,76.03,1.63,68,81
24,Broken Hill,AU,-31.97,141.45,2019-06-05 23:06:04,37.4,37.4,5.82,86,90
25,Hermanus,ZA,-34.42,19.24,2019-06-05 23:06:05,52.0,50.0,5.99,99,55
26,Port Elizabeth,US,39.31,-74.98,2019-06-05 23:05:15,80.6,64.99,10.29,94,75
27,Mehamn,NO,71.03,27.85,2019-06-05 23:06:06,42.91,42.91,5.59,74,17
28,Marawi,PH,8.0,124.29,2019-06-05 23:06:07,75.99,75.99,3.0,94,100
29,Taltal,CL,-25.41,-70.49,2019-06-05 23:03:50,61.45,61.45,4.59,67,88
30,Cape Town,ZA,-33.93,18.42,2019-06-05 23:05:36,55.0,51.01,6.93,87,75
31,Dikson,RU,73.51,80.55,2019-06-05 23:06:08,31.39,31.39,1.97,91,0
32,Vao,EE,59.1,26.19,2019-06-05 23:06:09,63.43,63.43,4.56,82,0
33,Butaritari,KI,3.07,172.79,2019-06-05 23:06:10,85.21,85.21,16.06,79,55
34,Kruisfontein,ZA,-34.0,24.73,2019-06-05 23:06:10,51.55,51.55,14.81,84,63
35,San Patricio,PY,-26.98,-56.83,2019-06-05 23:06:11,59.83,59.83,8.01,85,0
36,Margate,AU,-43.03,147.26,2019-06-05 23:06:12,55.99,51.01,1.12,57,75
37,Mar del Plata,AR,-46.43,-67.52,2019-06-05 23:06:12,48.85,48.85,21.47,54,48
38,Georgetown,GY,6.8,-58.16,2019-06-05 23:06:13,82.4,82.4,13.87,83,20
39,Longyearbyen,NO,78.22,15.63,2019-06-05 23:05:47,35.6,35.6,12.75,80,90
40,Port Alfred,ZA,-33.59,26.89,2019-06-05 23:06:14,57.0,57.0,8.01,77,32
41,Xuddur,SO,4.12,43.89,2019-06-05 23:06:15,73.69,73.69,18.97,78,40
42,Pisco,PE,-13.71,-76.2,2019-06-05 23:06:16,71.6,63.0,11.41,30,40
43,Kodiak,US,39.95,-94.76,2019-06-05 23:06:16,91.4,82.99,3.36,13,40
44,Avarua,CK,-21.21,-159.78,2019-06-05 23:05:17,77.0,77.0,16.11,69,5
45,Burnie,AU,-41.05,145.91,2019-06-05 23:06:18,55.0,52.0,17.0,78,100
